Date,Open,High,Low,Close,CO1 Comdty - Open Interest,SMAVG (15),,
21-07-2021,68.92,72.38,68.63,72.23,267820,482790,,0.040689325
22-07-2021,72.24,73.9,71.74,73.79,241182,455767,,0.021367749
23-07-2021,73.56,74.22,73.32,74.1,223580,429207,,0.004192311
26-07-2021,74.12,74.84,72.75,74.5,209170,401776,,0.005383593
27-07-2021,74.67,75.05,74.02,74.48,166740,372405,,-0.000268492
28-07-2021,74.77,75.32,74.42,74.74,126261,340230,,0.003484791
29-07-2021,74.76,76.15,74.63,76.05,87861,307766,,0.017375595
30-07-2021,75.81,76.38,75.38,76.33,81285,277059,,0.003675027
02-08-2021,75.39,75.39,72.31,72.89,533627,279652,,-0.04611459
03-08-2021,73.08,73.55,71.05,72.41,516069,283058,,-0.006607044
04-08-2021,72.33,72.83,70.11,70.38,495415,287796,,-0.02843528
05-08-2021,70.27,71.5,69.75,71.29,486593,294526,,0.012846933
06-08-2021,71.2,72.43,70.28,70.7,466014,301295,,-0.008310492
09-08-2021,70.26,70.26,67.6,69.04,439756,309164,,-0.023759526
10-08-2021,69.35,71.24,68.94,70.63,413188,316971,,0.022768937
11-08-2021,70.83,71.72,69.07,71.44,384896,324776,,0.011402953
12-08-2021,71.57,71.9,70.67,71.31,371354,333454,,-0.001821367
13-08-2021,71.12,71.38,70,70.59,350320,341903,,-0.010148079
16-08-2021,70.05,70.45,68.14,69.51,335058,350296,,-0.015417864
17-08-2021,69.77,70,68.82,69.03,321949,360643,,-0.006929434
18-08-2021,68.96,70.04,67.23,68.23,309999,372892,,-0.011656842
19-08-2021,67.57,67.64,65.57,66.45,291080,386440,,-0.026434566
20-08-2021,66.54,66.93,64.94,65.18,257158,398165,,-0.019297112
23-08-2021,64.97,68.9,64.6,68.75,240424,378618,,0.053324063
24-08-2021,68.66,71.27,68.53,71.05,224466,359178,,0.032907118
25-08-2021,71,72.42,70.5,72.25,186786,338603,,0.016748472
26-08-2021,71.94,72.13,70.66,71.07,146855,315954,,-0.01646702
27-08-2021,71.53,72.76,71.17,72.7,114781,292538,,0.022676078
30-08-2021,73.25,73.69,72,73.41,71194,267967,,0.009718782
31-08-2021,73.14,73.52,72.62,72.99,67794,244941,,-0.005737721
01-09-2021,71.68,72.38,70.42,71.59,569337,257237,,-0.019367046
02-09-2021,71.31,73.47,70.92,73.03,562386,269972,,0.019914916
03-09-2021,72.86,73.69,72.4,72.61,550789,283337,,-0.005767662
06-09-2021,72.57,72.78,71.51,72.22,551421,297761,,-0.005385638
07-09-2021,72.29,72.81,71.1,71.69,535156,311975,,-0.007365748
08-09-2021,71.64,72.95,71.55,72.6,521625,326083,,0.012613654
09-09-2021,72.61,73.2,70.88,71.45,485786,339064,,-0.015967017
10-09-2021,71.37,73.15,70.94,72.92,449217,351868,,0.020365045
13-09-2021,72.88,73.92,72.69,73.51,423918,364101,,0.008058502
14-09-2021,73.62,74.28,73.08,73.6,396634,375579,,0.001223574
15-09-2021,73.92,76.13,73.78,75.46,382241,388609,,0.024957689
16-09-2021,75.46,75.87,74.48,75.67,370780,403537,,0.002779066
17-09-2021,75.68,75.78,74.58,75.34,352398,419378,,-0.004370578
20-09-2021,75.33,75.4,73.52,73.92,311828,435421,,-0.019027775
21-09-2021,74.33,75.18,73.26,74.36,284259,449852,,0.005934736
22-09-2021,74.56,76.26,74.49,76.19,266513,429663,,0.024312058
23-09-2021,75.9,77.35,75.6,77.25,230819,407559,,0.013816695
24-09-2021,77.26,78.24,76.85,78.09,211203,384920,,0.010815092
27-09-2021,78.25,79.9,78.21,79.53,167892,359351,,0.018272301
28-09-2021,79.4,80.75,78.1,79.09,135673,332719,,-0.005547864
29-09-2021,78.25,79.4,77.5,78.64,79371,303235,,-0.005705969
30-09-2021,78.46,79.11,77.6,78.52,73143,275726,,-0.001527106
01-10-2021,78.49,79.41,77.55,79.28,607001,286245,,0.009632521
04-10-2021,79.49,82,78.75,81.26,601860,298108,,0.024668001
05-10-2021,81.27,83.13,81.19,82.56,597896,311525,,0.015871411
06-10-2021,82.57,83.47,80.6,81.08,576779,324494,,-0.01808898
07-10-2021,80.98,82.5,79.08,81.95,556054,336846,,0.010672984
08-10-2021,82.38,83.43,81.96,82.39,540673,349398,,0.005354765
11-10-2021,82.65,84.6,82.54,83.65,519045,363212,,0.015177357
12-10-2021,83.49,84.23,82.72,83.42,497732,377444,,-0.002753339
